                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 2.7267,                  1.066,                 2.0991,                0.97159,                0.95281,                0.98705,                0.60661,                 2.7757,                0.93816,                 2.2647,              0.0012377,              0.0012377,              0.0012377
                     79,                 2.7083,                 1.0539,                 2.0762,                 0.9709,                0.94236,                0.98352,                0.60864,                 2.7537,                 0.9258,                 2.2453,              0.0012278,              0.0012278,              0.0012278
                     80,                 2.7243,                 1.0623,                  2.081,                0.97443,                0.95187,                0.98639,                0.60561,                 2.7874,                 0.9328,                  2.264,              0.0012179,              0.0012179,              0.0012179
                     81,                 2.6159,                 1.0271,                 2.0966,                0.97634,                0.95156,                 0.9872,                0.60094,                 2.8459,                0.93671,                 2.2849,               0.001208,               0.001208,               0.001208
                     82,                 2.6612,                 1.0326,                 2.0757,                0.97827,                0.95581,                0.98745,                0.60584,                 2.7848,                0.93795,                 2.2598,              0.0011981,              0.0011981,              0.0011981
                     83,                 2.6096,                 1.0172,                  2.066,                0.97346,                0.95134,                0.98576,                0.59755,                 2.8385,                0.95396,                 2.3015,              0.0011882,              0.0011882,              0.0011882
                     84,                 2.6123,                 1.0215,                 2.0723,                0.97164,                0.95458,                0.98513,                0.59724,                 2.7963,                0.94049,                 2.2833,              0.0011783,              0.0011783,              0.0011783
                     85,                 2.6028,                 1.0036,                 2.0824,                0.96061,                0.96054,                0.98529,                0.59599,                 2.8421,                0.94601,                 2.2978,              0.0011684,              0.0011684,              0.0011684
                     86,                 2.6695,                 1.0417,                 2.0992,                 0.9697,                0.95677,                0.98816,                0.61711,                 2.7755,                0.90268,                   2.26,              0.0011585,              0.0011585,              0.0011585
                     87,                 2.6373,                 1.0156,                 2.0702,                0.96883,                0.95581,                0.98735,                0.59931,                 2.8368,                0.91018,                 2.2792,              0.0011486,              0.0011486,              0.0011486
                     88,                 2.6313,                 1.0158,                 2.0632,                0.96964,                0.95389,                 0.9879,                 0.6151,                 2.7773,                0.90531,                 2.2588,              0.0011387,              0.0011387,              0.0011387
                     89,                 2.6358,                 1.0181,                 2.0785,                0.97357,                0.95541,                0.98661,                0.60868,                 2.7636,                 0.9095,                 2.2611,              0.0011288,              0.0011288,              0.0011288
                     90,                 2.6416,                 1.0281,                 2.0825,                0.96282,                0.96638,                0.98598,                0.59916,                 2.7982,                0.92187,                 2.2651,              0.0011189,              0.0011189,              0.0011189
                     91,                 2.5887,                 1.0003,                 2.0464,                 0.9639,                 0.9635,                0.98704,                0.58723,                 2.8622,                0.95543,                 2.3046,               0.001109,               0.001109,               0.001109
                     92,                  2.636,                  1.014,                 2.0792,                0.96993,                0.96045,                0.98235,                0.58537,                 2.8455,                0.94839,                  2.288,              0.0010991,              0.0010991,              0.0010991
                     93,                 2.6418,                 1.0321,                 2.0394,                0.97272,                0.94813,                0.98758,                 0.6079,                 2.7776,                0.92104,                 2.2593,              0.0010892,              0.0010892,              0.0010892
                     94,                 2.6199,                 1.0213,                 2.0626,                0.97742,                 0.9563,                0.98809,                0.61383,                 2.7722,                 0.9059,                 2.2567,              0.0010793,              0.0010793,              0.0010793
                     95,                 2.5719,                0.98734,                 2.0589,                 0.9635,                0.96355,                0.98792,                0.58298,                 2.9427,                  0.954,                 2.3627,              0.0010694,              0.0010694,              0.0010694
                     96,                 2.5863,                0.99858,                 2.0811,                0.97452,                0.96446,                0.98762,                0.60728,                 2.8363,                0.91801,                 2.2917,              0.0010595,              0.0010595,              0.0010595
                     97,                 2.6216,                 1.0162,                 2.0601,                0.96952,                0.95005,                0.98594,                0.60328,                 2.8181,                0.92566,                 2.2857,              0.0010496,              0.0010496,              0.0010496
                     98,                 2.6063,                 1.0024,                 2.0546,                0.97567,                0.96299,                0.98952,                0.60404,                 2.8273,                0.90847,                 2.2963,              0.0010397,              0.0010397,              0.0010397
                     99,                 2.6299,                 1.0038,                 2.0892,                0.97161,                0.95346,                0.98654,                0.59386,                  2.835,                0.91207,                 2.2718,              0.0010298,              0.0010298,              0.0010298
                    100,                 2.6133,                0.99624,                 2.0606,                0.97939,                0.95879,                0.98791,                0.60913,                 2.7911,                0.89214,                 2.2638,              0.0010199,              0.0010199,              0.0010199
                    101,                 2.6324,                   1.02,                 2.0491,                0.96966,                0.95389,                 0.9874,                0.60783,                 2.7939,                0.90209,                 2.2676,                0.00101,                0.00101,                0.00101
                    102,                 2.5909,                 1.0043,                 2.0424,                0.97762,                0.96638,                0.98969,                0.61392,                 2.7962,                 0.8967,                 2.2644,              0.0010001,              0.0010001,              0.0010001
                    103,                 2.5484,                0.98688,                 2.0238,                0.96356,                0.96525,                0.98932,                0.60429,                 2.8081,                0.90105,                 2.2888,              0.0009902,              0.0009902,              0.0009902
                    104,                 2.5212,                0.97834,                  2.041,                0.97561,                0.96057,                0.98981,                0.61233,                  2.767,                0.89169,                 2.2684,              0.0009803,              0.0009803,              0.0009803
                    105,                 2.5444,                0.97866,                 2.0403,                0.97042,                0.96446,                0.98837,                0.61289,                 2.7619,                0.89216,                 2.2563,              0.0009704,              0.0009704,              0.0009704
                    106,                 2.5391,                 0.9854,                 2.0133,                0.96425,                 0.9635,                0.98835,                0.60638,                 2.7972,                0.90375,                 2.2665,              0.0009605,              0.0009605,              0.0009605
                    107,                 2.5013,                0.96525,                 2.0316,                0.97845,                0.95955,                0.98819,                 0.6082,                 2.8139,                0.89071,                 2.2829,              0.0009506,              0.0009506,              0.0009506
                    108,                 2.5425,                0.97867,                  2.038,                0.97938,                0.95805,                0.98984,                0.61521,                 2.7818,                0.87944,                 2.2687,              0.0009407,              0.0009407,              0.0009407
                    109,                  2.592,                0.99154,                 2.0369,                0.95363,                0.96798,                0.98716,                0.60632,                 2.8015,                0.92307,                 2.2761,              0.0009308,              0.0009308,              0.0009308
                    110,                 2.5347,                0.97689,                 2.0437,                0.97076,                0.96446,                0.98795,                 0.6027,                 2.8131,                0.90593,                 2.2976,              0.0009209,              0.0009209,              0.0009209
                    111,                 2.5183,                0.95883,                 2.0069,                0.98181,                0.96638,                0.99012,                0.61344,                 2.7632,                0.87115,                 2.2577,               0.000911,               0.000911,               0.000911
                    112,                 2.5257,                0.97706,                 2.0288,                0.96978,                0.96542,                0.98839,                0.60684,                 2.8156,                0.89652,                  2.277,              0.0009011,              0.0009011,              0.0009011
                    113,                 2.5235,                0.96642,                 2.0399,                0.97554,                0.95795,                0.98956,                0.61202,                  2.762,                 0.8831,                 2.2675,              0.0008912,              0.0008912,              0.0008912
                    114,                 2.4762,                0.96262,                 2.0322,                0.96276,                0.97214,                0.98907,                0.60189,                  2.821,                   0.89,                 2.2987,              0.0008813,              0.0008813,              0.0008813
                    115,                 2.5242,                0.96502,                 2.0211,                0.97221,                0.95773,                0.98762,                0.58943,                 2.8983,                0.92918,                  2.318,              0.0008714,              0.0008714,              0.0008714
                    116,                 2.5211,                0.97273,                 2.0383,                0.97595,                0.95773,                0.98784,                0.60112,                 2.8298,                 0.8965,                 2.2999,              0.0008615,              0.0008615,              0.0008615
                    117,                 2.5043,                0.96993,                 2.0242,                0.97071,                0.95773,                0.98939,                0.60981,                 2.8001,                0.89015,                 2.2735,              0.0008516,              0.0008516,              0.0008516
                    118,                 2.5111,                 0.9619,                  2.004,                0.97001,                0.95869,                0.98726,                0.61498,                 2.7616,                0.88204,                 2.2633,              0.0008417,              0.0008417,              0.0008417
                    119,                 2.4997,                0.96345,                 2.0081,                0.97831,                 0.9532,                0.98846,                0.61116,                 2.7904,                0.88533,                 2.2863,              0.0008318,              0.0008318,              0.0008318
                    120,                  2.489,                0.95253,                 2.0177,                0.97576,                0.96653,                0.98924,                0.60903,                 2.8115,                0.88655,                 2.2854,              0.0008219,              0.0008219,              0.0008219
                    121,                 2.4406,                0.93525,                 2.0181,                0.97298,                0.96846,                0.98739,                0.60294,                 2.8169,                0.89116,                 2.2999,               0.000812,               0.000812,               0.000812
                    122,                 2.4913,                0.95224,                 2.0235,                0.97246,                0.97214,                 0.9883,                0.60519,                 2.8487,                0.89535,                 2.2934,              0.0008021,              0.0008021,              0.0008021
                    123,                 2.4595,                0.94017,                 1.9951,                0.97038,                0.96542,                0.98586,                0.61134,                 2.7913,                0.88106,                 2.2699,              0.0007922,              0.0007922,              0.0007922
                    124,                 2.4706,                0.95199,                 2.0041,                0.96956,                0.96158,                0.98612,                 0.6054,                 2.8083,                0.89278,                 2.2874,              0.0007823,              0.0007823,              0.0007823
                    125,                 2.4544,                0.94586,                 2.0089,                0.96533,                0.96061,                0.98777,                0.61384,                 2.7563,                0.88797,                 2.2607,              0.0007724,              0.0007724,              0.0007724
                    126,                 2.4551,                0.95762,                 1.9942,                 0.9765,                0.95808,                0.98685,                0.60843,                 2.7892,                0.89386,                 2.2834,              0.0007625,              0.0007625,              0.0007625
                    127,                 2.4448,                 0.9446,                 2.0149,                0.97764,                0.96608,                0.98897,                0.60781,                 2.7891,                 0.8833,                 2.2844,              0.0007526,              0.0007526,              0.0007526
                    128,                 2.4465,                0.94549,                 2.0112,                0.96073,                0.96926,                0.98899,                 0.6044,                 2.7863,                0.88965,                 2.2841,              0.0007427,              0.0007427,              0.0007427
                    129,                 2.4725,                 0.9587,                 2.0054,                0.98049,                0.96568,                0.98976,                 0.6044,                 2.8045,                0.88954,                 2.2901,              0.0007328,              0.0007328,              0.0007328
                    130,                 2.4673,                0.94948,                 2.0017,                0.97835,                0.95484,                0.98901,                 0.6071,                 2.8114,                0.88891,                 2.2872,              0.0007229,              0.0007229,              0.0007229
                    131,                 2.4417,                0.94177,                 2.0021,                0.97743,                0.95699,                0.98865,                0.61586,                 2.7912,                0.87263,                 2.2875,               0.000713,               0.000713,               0.000713
                    132,                 2.3658,                0.91127,                 1.9898,                0.96992,                0.96032,                0.98856,                0.60778,                 2.8121,                0.88328,                 2.2964,              0.0007031,              0.0007031,              0.0007031
