epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,2352.47,2.51232,0.95503,2.07062,0.97844,0.95896,0.98824,0.62418,2.74329,0.84347,2.25193,0.0008417,0.0008417,0.0008417
119,2371.91,2.54301,0.97442,2.06324,0.97481,0.96639,0.98942,0.61999,2.75531,0.84605,2.25561,0.0008318,0.0008318,0.0008318
120,2391.52,2.51212,0.96612,2.05227,0.98555,0.95869,0.98866,0.61885,2.76646,0.85234,2.2598,0.0008219,0.0008219,0.0008219
121,2411.3,2.4813,0.94978,2.0365,0.97306,0.96254,0.98781,0.62136,2.75138,0.8544,2.26035,0.000812,0.000812,0.000812
122,2430.7,2.5067,0.94511,2.08421,0.97571,0.96488,0.98792,0.62109,2.77979,0.85065,2.27414,0.0008021,0.0008021,0.0008021
123,2450.33,2.50784,0.95019,2.05553,0.97874,0.96158,0.98932,0.62205,2.76467,0.85435,2.26207,0.0007922,0.0007922,0.0007922
124,2469.72,2.51133,0.95759,2.06345,0.97994,0.9731,0.98973,0.61674,2.76233,0.85509,2.2581,0.0007823,0.0007823,0.0007823
125,2489.1,2.50079,0.95673,2.07825,0.97287,0.96437,0.98727,0.62291,2.78606,0.84654,2.26893,0.0007724,0.0007724,0.0007724
126,2509.23,2.46814,0.94015,2.05343,0.98025,0.9635,0.98948,0.61626,2.75957,0.84954,2.25565,0.0007625,0.0007625,0.0007625
127,2528.8,2.48812,0.9515,2.07588,0.97122,0.9635,0.98726,0.61551,2.76415,0.85071,2.26247,0.0007526,0.0007526,0.0007526
128,2548.56,2.48378,0.94417,2.05676,0.97373,0.96446,0.98883,0.61622,2.77453,0.84937,2.27404,0.0007427,0.0007427,0.0007427
129,2568.38,2.46206,0.93515,2.03208,0.97074,0.9683,0.98907,0.62314,2.743,0.83395,2.24896,0.0007328,0.0007328,0.0007328
130,2587.89,2.45035,0.93297,2.07759,0.97448,0.95965,0.98941,0.61965,2.75199,0.83414,2.2595,0.0007229,0.0007229,0.0007229
131,2607.63,2.44642,0.93072,2.04227,0.9748,0.96604,0.98891,0.61979,2.74241,0.83858,2.2516,0.000713,0.000713,0.000713
132,2627.39,2.45366,0.9318,2.04512,0.97572,0.97214,0.98918,0.61912,2.76366,0.83982,2.26246,0.0007031,0.0007031,0.0007031
133,2647.12,2.45487,0.93811,2.03583,0.97857,0.965,0.98952,0.62253,2.76772,0.84582,2.26658,0.0006932,0.0006932,0.0006932
134,2666.67,2.44565,0.93003,2.03916,0.96462,0.96909,0.98859,0.62165,2.75065,0.85234,2.25221,0.0006833,0.0006833,0.0006833
135,2686.11,2.40168,0.90928,2.0334,0.9712,0.9731,0.9896,0.61913,2.75638,0.84243,2.26816,0.0006734,0.0006734,0.0006734
136,2705.63,2.41287,0.90831,2.03126,0.97578,0.96638,0.98964,0.62214,2.7614,0.83321,2.26558,0.0006635,0.0006635,0.0006635
137,2725.38,2.47602,0.93135,2.05962,0.9745,0.96542,0.98759,0.61998,2.75845,0.84443,2.26327,0.0006536,0.0006536,0.0006536
138,2744.9,2.46157,0.92757,2.03915,0.97548,0.96638,0.98924,0.6233,2.73093,0.83651,2.26126,0.0006437,0.0006437,0.0006437
139,2764.63,2.4247,0.91245,2.04094,0.97486,0.96855,0.98894,0.62024,2.75841,0.83795,2.26205,0.0006338,0.0006338,0.0006338
140,2784.17,2.43278,0.92658,2.01348,0.97844,0.96446,0.98628,0.61763,2.76214,0.84227,2.27139,0.0006239,0.0006239,0.0006239
141,2803.72,2.40703,0.92314,2.02912,0.97457,0.96446,0.98739,0.61802,2.75884,0.84345,2.2543,0.000614,0.000614,0.000614
142,2823.49,2.41112,0.92168,2.00801,0.96741,0.96957,0.98977,0.61865,2.75919,0.84554,2.26743,0.0006041,0.0006041,0.0006041
143,2843.23,2.40606,0.91768,2.0198,0.96908,0.9635,0.98758,0.61652,2.75817,0.8396,2.27201,0.0005942,0.0005942,0.0005942
144,2863,2.43798,0.93421,2.03805,0.97591,0.97303,0.98846,0.62064,2.75978,0.8417,2.27143,0.0005843,0.0005843,0.0005843
145,2882.82,2.41121,0.93164,2.03882,0.97553,0.97502,0.98921,0.62029,2.74562,0.83534,2.26402,0.0005744,0.0005744,0.0005744
146,2902.3,2.40672,0.91171,2.01621,0.9757,0.96433,0.98809,0.61959,2.7583,0.84537,2.27044,0.0005645,0.0005645,0.0005645
147,2922.11,2.38742,0.92135,2.00682,0.97581,0.96859,0.98989,0.61721,2.75499,0.83991,2.26943,0.0005546,0.0005546,0.0005546
148,2941.75,2.42649,0.92691,2.03714,0.97878,0.9683,0.98877,0.61638,2.75868,0.82819,2.26159,0.0005447,0.0005447,0.0005447
149,2961.34,2.3553,0.8968,2.01897,0.97543,0.97118,0.99042,0.62072,2.75782,0.83493,2.26642,0.0005348,0.0005348,0.0005348
150,2980.93,2.40403,0.91028,2.02962,0.97453,0.97022,0.98992,0.61957,2.7632,0.83561,2.28425,0.0005249,0.0005249,0.0005249
151,3000.48,2.38942,0.91115,2.01992,0.97873,0.96638,0.98874,0.61883,2.74438,0.83928,2.2699,0.000515,0.000515,0.000515
152,3020.21,2.40423,0.91809,1.99733,0.98165,0.97118,0.98937,0.62237,2.75901,0.83806,2.26735,0.0005051,0.0005051,0.0005051
153,3039.75,2.34295,0.88716,2.00864,0.97037,0.96638,0.98765,0.62073,2.76371,0.84565,2.26919,0.0004952,0.0004952,0.0004952
154,3059.42,2.35853,0.8937,1.99728,0.97857,0.96515,0.98844,0.62075,2.75991,0.83885,2.27222,0.0004853,0.0004853,0.0004853
155,3079.34,2.36439,0.90458,2.00568,0.97655,0.96014,0.98752,0.62252,2.75512,0.84215,2.27533,0.0004754,0.0004754,0.0004754
